id,topic,text_ru,text_kk,active
1,greeting,Здравствуйте! Чем можем вам помочь?,,TRUE
2,voice_rejected,"К сожалению, голосовые сообщения не обрабатываются. Просим вас направлять вопросы в письменном виде либо воспользоваться возможностью консультации по адресу или через телефон.",,TRUE
3,signage_definition_sizes,"Вывеска — информация о наименовании и роде деятельности физических и юридических лиц, включая средства их индивидуализации, размещаемая в пределах входа в здание по числу входов в него. Все вывески должны быть на одном уровне; для каждого здания — отдельные комплексные решения в зависимости от входа и числа организаций через один вход. Рекомендуемые размеры согласно концепции: ширина 2,5 м, высота 50 см, наименование — 30–35 см, род деятельности — 10–15 см. Не должно быть подложки, фона или короба.",,TRUE
4,office_address_hours,"Для получения подробной информации вы можете обратиться в Управление по развитию языков и архивного дела по адресу: ул. Бейбитшилик, 11, кабинет 106. Приём эскизов — кабинет 106 (ящик), 07.30–17.00. Выдача эскизов — среда, пятница, 09.00–12.00.",,TRUE
5,corrections_after_visual,"После того как отправите визуал, возможны рекомендации для корректировки.",,TRUE
6,contractor_documents,"При подаче эскиза от имени исполнителя требуется предоставить договор, доверенность, подпись или печать заказчика.",,TRUE
7,request_sketch_from_admin,Просим вас запросить у администрации эскизный проект. При его отсутствии возможно направление представителей администрации к нам для проведения консультации с целью комплексного решения по зданию.,,TRUE
8,ask_address,"Подскажите, пожалуйста, адрес.",,TRUE
9,ask_facade_photo,Можете отправить фотографию фасада — желательно общий вид с расстояния?,,TRUE
10,navigation_signs,"В случае, если через один вход осуществляется доступ к нескольким организациям, рекомендуется установка навигационных указателей. Рекомендуемые размеры указателя — 80 см в длину и 30 см в высоту. Варианты оформления навигационных табличек: допускается единый стиль для всех табличек; при использовании лайтбокса — рекомендуется белый цвет; при лайтбоксе с виниловой плёнкой — предпочтителен монохромный или приглушённый цвет; для акриловых табличек — также монохромное или приглушённое решение. Содержание навигационной вывески: наименование организации; род деятельности; средство индивидуализации (при наличии — логотип, товарный знак и пр.).",,TRUE
11,individual_concept,"Концепция разрабатывается индивидуально для каждого здания, поэтому для данного объекта рекомендуется придерживаться указанных в ней размеров и схемы размещения.",,TRUE
12,out_of_competence,Вопрос находится вне нашей компетенции. Просим вас обратиться в [указать орган].,,TRUE
13,phone_contacts,"По этому номеру звонки не принимаются. Для получения консультации вы можете: позвонить по телефону 57-01-20; обратиться лично по адресу ул. Мамбетова, 24, 1 этаж; либо задать свой вопрос здесь в сообщении.",,TRUE
14,individual_concept_dup,"Концепция разрабатывается индивидуально для каждого здания, поэтому для данного объекта рекомендуется придерживаться указанных в ней размеров и схемы размещения.",,TRUE
15,no_backing_panel,"Не рекомендуется размещение вывески на подложке: она не должна нарушать архитектурный облик и должна соответствовать единым параметрам архитектурного стиля — цветовые решения и отделочные материалы применяются в соответствии со стилистикой здания. Подложка не должна закрывать архитектурные элементы здания (карнизы, балясины, балконы, окна и т.д.).",,TRUE
16,foreign_language_trademark,Размещение вывески на иностранном языке допускается только при наличии соответствующего товарного знака. У вас он имеется?,,TRUE
17,no_exact_date,"В настоящий момент мы не можем назвать точную дату, так как комплексные мероприятия по реализации единого архитектурного облика выполняются в порядке очереди по районам и улицам.",,TRUE
18,decision_by_authority,Решение о выдаче разрешения принимается уполномоченным органом. Следование нашим рекомендациям повышает вероятность положительного результата.,,TRUE
19,advertising_definition,"Реклама — информация, распространяемая и (или) размещаемая в любой форме с помощью любых средств, предназначенная для неопределённого круга лиц и призванная формировать или поддерживать интерес к физическому или юридическому лицу, товарам, товарным знакам, работам, услугам и способствовать их реализации.",,TRUE
20,photo_received,Спасибо! Фото получили и передали специалисту — он свяжется с вами.,"Рахмет! Фотосуретті алдық, маманға жібердік — ол сізбен хабарласады.",TRUE
21,off_hours_note,Ответим в приёмное время: {WORK_HOURS}.,Қабылдау уақытында жауап береміз: {WORK_HOURS}.,TRUE
